product_code,major category,minor category,production type,multiplication_factor
pp002,Banana,Baby banana,Baby banana: Coastal (<800m above sea level),1
pp003,Banana,Baby banana,Baby banana: Mountain (>800m above sea level),1
pp001,Banana,Banana (fresh),Banana (fresh),1
pp005,Banana,Banana (other),Other [Specify],1
pp004,Banana,Plantain (fresh),Plantain (fresh),1
pp007,Cane sugar,Cane sugar,Other [Specify],1
pp321,Cane sugar,Cane sugar,Sugar,1
pp006,Cane sugar,Cane sugar,Sugarcane,0.1
pp311,Cereals,Millet,Millet,1
pp243,Cereals,Cereals (other),Other [Specify],1
pp329,Cereals,Qañiwa,Qañiwa,1
pp242,Cereals,Quinoa,Quinoa,1
pp244,Rice,Rice,Basmati: Pusa,1
pp245,Rice,Rice,Basmati: Traditional,1
pp246,Rice,Rice,Black petit poussin & White petit poussin,1
pp604,Rice,Rice,Brazilian long grain,1
pp605,Rice,Rice,Burmese aromatic long grain,1
pp606,Rice,Rice,Cambodian aromatic long grain,1
pp607,Rice,Rice,Giza,1
pp247,Rice,Rice,Glutinous rice: black or violet,1
pp248,Rice,Rice,Glutinous rice: white,1
pp608,Rice,Rice,Hsin Thu Kha,1
pp249,Rice,Rice,Jasmine Rice & Red Jasmine Rice,1
pp609,Rice,Rice,Ma Naw Thu Kha,1
pp610,Rice,Rice,Mandarin,1
pp611,Rice,Rice,Non-Basmati and Non-Sarbati rice,1
pp612,Rice,Rice,Non-Glutinous black,1
pp613,Rice,Rice,Non-Glutinous red,1
pp250,Rice,Rice,Normal longgrain rice,1
pp253,Rice,Rice,Other [Specify],1
pp614,Rice,Rice,Paw San,1
pp251,Rice,Rice,Sarbati,1
pp616,Rice,Rice,Shwe Thwe Lay,1
pp617,Rice,Rice,Thai long grain,1
pp252,Rice,Rice,Traditional varieties from Sri Lanka,1
pp636,Cereals,Sorghum,Sorghum,1
pp008,Cocoa,Cocoa,Cocoa beans (raw),1
pp009,Cocoa,Cocoa,Other [Specify],1
pp011,Coffee,Arabica,Arabica: Dry cherry,0.5
pp010,Coffee,Arabica,Arabica: Unprocessed cherry,0.5
pp012,Coffee,Arabica,Arabica: Unwashed parchment,0.8
pp013,Coffee,Arabica,Arabica: Washed parchment,0.8
pp018,Coffee,Coffee (other),Other [Specify],1
pp015,Coffee,Robusta,Robusta: Dry cherry,0.5
pp014,Coffee,Robusta,Robusta: Unprocessed cherry,0.5
pp016,Coffee,Robusta,Robusta: Unwashed parchment,0.8
pp017,Coffee,Robusta,Robusta: Washed parchment,0.8
pp348,Flowers and Plants,Plants,Bulbs,1
pp044,Flowers and Plants,Cut Flowers and Cut Foliage,Cut Flowers,1
pp046,Flowers and Plants,Cut Flowers and Cut Foliage,Cut Flowers and Cut Foliage,1
pp045,Flowers and Plants,Cut Flowers and Cut Foliage,Cut Foliage,1
pp047,Flowers and Plants,Plants,Ornamental Plants,1
pp350,Flowers and Plants,Plants,Young Plant Material,1
pp048,Flowers and Plants,Flowers and Plants (other),Other [Specify],1
pp049,Fonio,Fonio,Fonio,1
pp050,Fonio,Fonio,Other [Specify],1
pp051,Fresh fruit,Acai,Acai (fresh),1
pp052,Fresh fruit,Apples,Apples (fresh),1
pp053,Fresh fruit,Apricot,Apricot (fresh),1
pp054,Fresh fruit,Avocados,Avocados (fresh),1
pp055,Fresh fruit,Baobab,Baobab (fresh),1
pp056,Fresh fruit,Blackcurrant,Blackcurrant (fresh),1
pp057,Fresh fruit,Blueberry,Blueberry (fresh),1
pp058,Fresh fruit,Cherry,Cherry (fresh),1
pp059,Fresh fruit,Dates,Dates (fresh),1
pp060,Fresh fruit,Dragon fruit,Dragon fruit (fresh),1
pp061,Fresh fruit,Grapefruit,Grapefruit (fresh),1
pp634,Fresh fruit,Jackfruit,Jackfruit (fresh),1
pp631,Fresh fruit,Langsat,Langsat (fresh),1
pp062,Fresh fruit,Lemons,Lemons (fresh),1
pp063,Fresh fruit,Limes,Limes (fresh),1
pp064,Fresh fruit,Lychees,Lychees (fresh),1
pp065,Fresh fruit,Mangoes,Mangoes (fresh),1
pp632,Fresh fruit,Mangosteen,Mangosteen (fresh),1
pp066,Fresh fruit,Marula,Marula (fresh),1
pp067,Fresh fruit,Melon (Cumumis melo),Melon (Cumumis melo) (fresh),1
pp068,Fresh fruit,Mini watermelon,Mini watermelon (fresh),1
pp069,Fresh fruit,Nectarines,Nectarines (fresh),1
pp070,Fresh fruit,Oranges,Oranges (fresh),1
pp071,Fresh fruit,Oranges: Navel,Oranges: Navel (fresh),1
pp072,Fresh fruit,Oranges: Valencia,Oranges: Valencia (fresh),1
pp092,Fresh fruit,Fresh fruit (other),Other [Specify],1
pp073,Fresh fruit,Papaya,Papaya (fresh),1
pp074,Fresh fruit,Passion Fruit,Passion Fruit (fresh),1
pp075,Fresh fruit,Peaches and Nectarines,Peaches and Nectarines (fresh),1
pp076,Fresh fruit,Pears,Pears (fresh),1
pp312,Fresh fruit,Persimmon,Persimmon (fresh),1
pp077,Fresh fruit,Physalis,Physalis (fresh),1
pp078,Fresh fruit,Pineapples,Pineapples (fresh),1
pp079,Fresh fruit,Plums,Plums (fresh),1
pp080,Fresh fruit,Pomegranate,Pomegranate (fresh),1
pp639,Fresh fruit,Pomelo,Pomelo (fresh),1
pp081,Fresh fruit,Prickly pear,Prickly pear (fresh),1
pp630,Fresh fruit,Rambutan,Rambutan (fresh),1
pp082,Fresh fruit,Raspberries,Raspberries (fresh),1
pp083,Fresh fruit,Redcurrant,Redcurrant (fresh),1
pp629,Fresh fruit,Snake fruit,Snake fruit (fresh),1
pp084,Fresh fruit,Soft citrus: Clementines,Soft citrus: Clementines (fresh),1
pp085,Fresh fruit,Soft citrus: Mandarines,Soft citrus: Mandarines (fresh),1
pp086,Fresh fruit,Soft Citrus: Satsumas,Soft Citrus: Satsumas (fresh),1
pp087,Fresh fruit,Soft Citrus: Tangerines,Soft Citrus: Tangerines (fresh),1
pp314,Fresh fruit,Soursop,Soursop (fresh),1
pp088,Fresh fruit,Strawberries,Strawberries (fresh),1
pp089,Fresh fruit,Table Grapes: Seeded,Table Grapes: Seeded (fresh),1
pp090,Fresh fruit,Table Grapes: Seedless,Table Grapes: Seedless (fresh),1
pp091,Fresh fruit,Watermelon,Watermelon (fresh),1
pp103,Gold & associated Precious Metals,Gold,Gold: Conventional,1
pp104,Gold & associated Precious Metals,Gold,Gold: Ecological,1
pp109,Gold & associated Precious Metals,Gold & associated Precious Metals (other),Other [Specify],1
pp107,Gold & associated Precious Metals,Platinum,Platinum: Conventional,1
pp108,Gold & associated Precious Metals,Platinum,Platinum: Ecological,1
pp105,Gold & associated Precious Metals,Silver,Silver: Conventional,1
pp106,Gold & associated Precious Metals,Silver,Silver: Ecological,1
pp110,"Herbs, herbal teas & spices",Achochilla ,Achochilla (Cyclanthera tenuisepala),1
pp111,"Herbs, herbal teas & spices",Agave ,"Agave (Agave tequilana, A. salmiana)",1
pp112,"Herbs, herbal teas & spices",Ajowan ,Ajowan (Trachyspermum ammi),1
pp372,"Herbs, herbal teas & spices",Alfalfa ,Alfalfa (Medicago sativa),1
pp113,"Herbs, herbal teas & spices",Allspice ,Allspice (Pimenta dioica),1
pp114,"Herbs, herbal teas & spices",Almond flower ,Almond flower (Prunus dulcis var. dulcis),1
pp115,"Herbs, herbal teas & spices",Aloe ,"Aloe (Aloe vera, A. barbadensis)",1
pp373,"Herbs, herbal teas & spices",Altimisa ,Altimisa (Ambrosia arborescens),1
pp374,"Herbs, herbal teas & spices",Amaranth ,"Amaranth (Amaranthus caudatus, A. cruentus, A. tricolor)",1
pp375,"Herbs, herbal teas & spices",Angelica ,"Angelica (Angelica sylvestris, A. archangelica)",1
pp376,"Herbs, herbal teas & spices",Angelica ,"Angelica root (Angelica sylvestris, A. archangelica)",1
pp377,"Herbs, herbal teas & spices",Angelica ,"Angelica stem (Angelica sylvestris, A. archangelica)",1
pp116,"Herbs, herbal teas & spices",Anis myrtle ,Anis myrtle (Syzygium anisatum),1
pp117,"Herbs, herbal teas & spices",Anise ,Anise (Pimpinella anisum),1
pp378,"Herbs, herbal teas & spices",Annato seed ,Annato seed (Bixa orellana),1
pp118,"Herbs, herbal teas & spices",Apricot seed ,Apricot seed (Prunus armeniaca L.),1
pp627,"Herbs, herbal teas & spices",Arenga palm sugar/nectar,Arenga palm sugar/nectar,1
pp119,"Herbs, herbal teas & spices",Asafoetida ,Asafoetida (Ferula assa-foetida),1
pp315,"Herbs, herbal teas & spices",Asian palmyra palm sugar,Asian palmyra palm sugar,1
pp379,"Herbs, herbal teas & spices",Asian palmyra palm sugar,Asian palmyra palm sugar (Borassus flabellifer): Shoots sap,1
pp380,"Herbs, herbal teas & spices",Asian palmyra palm sugar,Asian palmyra palm sugar (Borassus flabellifer): Spadix,1
pp381,"Herbs, herbal teas & spices",Astragalus root ,Astragalus root (Astragalus spec.),1
pp382,"Herbs, herbal teas & spices",Barberry fruit ,Barberry fruit (Berberis vulgaris),1
pp120,"Herbs, herbal teas & spices",Basil ,"Basil (Ocimum basilicum, O. gratissimum)",1
pp383,"Herbs, herbal teas & spices",Bay leaves ,Bay leaves (Laurus nobilis),1
pp384,"Herbs, herbal teas & spices",Bee balm flower ,Bee balm flower (Monarda didyma),1
pp385,"Herbs, herbal teas & spices",Bengal quince,Bengal quince fruit (Aegle marmelos),1
pp386,"Herbs, herbal teas & spices",Bengal quince,Bengal quince leaves (Aegle marmelos),1
pp387,"Herbs, herbal teas & spices",Bengal quince,Bengal quince roots (Aegle marmelos),1
pp388,"Herbs, herbal teas & spices",Bilberry leave ,Bilberry leave (Vaccinium myrtillus),1
pp389,"Herbs, herbal teas & spices",Birch leaf ,"Birch leaf (Betula pendula, B. pubescens)",1
pp390,"Herbs, herbal teas & spices",Bishop’s weed ,Bishop’s weed (Aegopodium podagraria),1
pp121,"Herbs, herbal teas & spices",Black caraway / black onions seeds ,Black caraway / black onions seeds (Nigella sativa),1
pp122,"Herbs, herbal teas & spices",Black mulberry leaf ,Black mulberry leaf (Morus nigra),1
pp123,"Herbs, herbal teas & spices",Black Pepper ,Black Pepper (Piper nigrum),1
pp124,"Herbs, herbal teas & spices",Blackberry leaf ,Blackberry leaf (Rubus fruticosus),1
pp125,"Herbs, herbal teas & spices",Blackcurrant leaf ,Blackcurrant leaf (Ribes nigrum),1
pp391,"Herbs, herbal teas & spices",Blue flag root ,Blue flag root (Iris versicolor),1
pp392,"Herbs, herbal teas & spices",Boldu leaf ,Boldu leaf (Peumus boldus),1
pp393,"Herbs, herbal teas & spices",Borage,Borage,1
pp394,"Herbs, herbal teas & spices",Borage,"Borage (Borago officinalis, B. pygmaea)",1
pp395,"Herbs, herbal teas & spices",Borage,"Borage (Borago officinalis, B. pygmaea): dried",1
pp126,"Herbs, herbal teas & spices",Brazil pepper ,Brazil pepper (Schinus terebinthifolius),1
pp396,"Herbs, herbal teas & spices",Buchu ,Buchu (Agathosma betulina),1
pp397,"Herbs, herbal teas & spices",Buchu leaf ,Buchu leaf (Agathosma betulina),1
pp398,"Herbs, herbal teas & spices",Buckwheat ,Buckwheat (Fagopyrum esculentum),1
pp399,"Herbs, herbal teas & spices",Burdock root ,Burdock root (Arctium majus),1
pp400,"Herbs, herbal teas & spices",Burnet ,Burnet (Sanguisorba species),1
pp401,"Herbs, herbal teas & spices",Burning bush ,Burning bush (Dictamnus albus),1
pp127,"Herbs, herbal teas & spices",Camomile ,"Camomile (Matricaria recutita, Anthemis nobilis)",1
pp128,"Herbs, herbal teas & spices",Caper ,Caper (Capparis spinosa),1
pp129,"Herbs, herbal teas & spices",Caraway ,Caraway (Carum carvi),1
pp130,"Herbs, herbal teas & spices",Cardamom ,Cardamom (Elettaria & Amonum species),1
pp131,"Herbs, herbal teas & spices",Cardamon fruit ,Cardamon fruit (Elettaria and Amonum species),1
pp641,"Herbs, herbal teas & spices",Carob bush,Carob bush,1
pp402,"Herbs, herbal teas & spices",Carrageen ,Carrageen (Chondrus crispus),1
pp403,"Herbs, herbal teas & spices",Cassia ,Cassia (Cassia species),1
pp404,"Herbs, herbal teas & spices",Castor ,Castor (Ricinus communis),1
pp405,"Herbs, herbal teas & spices",Catmint /Catnip ,Catmint /Catnip (Nepeta species),1
pp406,"Herbs, herbal teas & spices",Cat's foot flower ,Cat's foot flower (Antennaria dioica),1
pp407,"Herbs, herbal teas & spices",Catuaba bark ,Catuaba bark (Erythroxylon catuaba martius),1
pp132,"Herbs, herbal teas & spices",Celery ,Celery (Apium graveolens),1
pp133,"Herbs, herbal teas & spices",Centalla ,Centalla (Centella asiatica),1
pp408,"Herbs, herbal teas & spices",Centaury ,Centaury (Erythraea centaurium),1
pp134,"Herbs, herbal teas & spices",Chervil ,Chervil (Anthriscus cerefolium),1
pp135,"Herbs, herbal teas & spices",Chia seeds ,Chia seeds (Salvia hispanica),1
pp136,"Herbs, herbal teas & spices",Chicory ,Chicory (Cichorium intybus),1
pp137,"Herbs, herbal teas & spices",Chili pepper ,Chili pepper (Capsicum species),1
pp409,"Herbs, herbal teas & spices",Chiretta ,Chiretta (Swertia chirata),1
pp138,"Herbs, herbal teas & spices",Chives ,"Chives (Allium schoenoprasum, A. odoratum)",1
pp410,"Herbs, herbal teas & spices",Chrysanthemum flower ,Chrysanthemum flower (Chrysanthemum species),1
pp411,"Herbs, herbal teas & spices",Cicely ,Cicely (Myrrhis odorata),1
pp412,"Herbs, herbal teas & spices",Cinchona bark ,Cinchona bark (Cinchona succirubra),1
pp139,"Herbs, herbal teas & spices",Cinnamon ,"Cinnamon (Cinnamomum zeylanicum, C. cassia)",1
pp140,"Herbs, herbal teas & spices",Citronella grass ,"Citronella grass (Cymbopogon winterianus, C. nardus)",1
pp141,"Herbs, herbal teas & spices",Clove ,Clove (Syzygium aromaticum),1
pp413,"Herbs, herbal teas & spices",Clubmoss ,Clubmoss (Lycopodium clavatum),1
pp414,"Herbs, herbal teas & spices",Coco-grass ,Coco-grass (Cyperus rotundus),1
pp415,"Herbs, herbal teas & spices",Coconut palm sugar/nectar ,Coconut palm sugar/nectar (Cocos nucifera),1
pp416,"Herbs, herbal teas & spices",Codonopsis root ,Codonopsis root (Codonopsis pilosulae),1
pp417,"Herbs, herbal teas & spices",Coffee leaf ,"Coffee leaf (Coffea arabica, C. canephora)",1
pp316,"Herbs, herbal teas & spices",Coffee leaf ,Coffee leaves,1
pp418,"Herbs, herbal teas & spices",Cola nut ,Cola nut (Cola acuminata),1
pp419,"Herbs, herbal teas & spices",Common Sorrel ,Common Sorrel (Rumex species),1
pp420,"Herbs, herbal teas & spices",Common speedwell ,Common speedwell (Veronica officinalis),1
pp421,"Herbs, herbal teas & spices",Condurango bark ,Condurango bark (Marsdenia cundurango),1
pp142,"Herbs, herbal teas & spices",Coriander ,Coriander (Coriandrum sativum),1
pp143,"Herbs, herbal teas & spices",Cornflower ,Cornflower (Centaurea cyanus),1
pp422,"Herbs, herbal teas & spices",Costmary / Tansy ,"Costmary / Tansy (Tanacetum vulgare, T. balsamita)",1
pp423,"Herbs, herbal teas & spices",Couch-Grass root ,Couch-Grass root (Agropyron repens),1
pp424,"Herbs, herbal teas & spices",Cowberry leaf ,Cowberry leaf (Vaccinium vitis-idaea),1
pp144,"Herbs, herbal teas & spices",Cumin ,Cumin (Cuminum cyminum),1
pp145,"Herbs, herbal teas & spices",Curry leaves/ Sweet Neem leaves ,Curry leaves/ Sweet Neem leaves (Murraya koenigii),1
pp425,"Herbs, herbal teas & spices",Cuscuta seed ,Cuscuta seed (Cuscuta epithymum),1
pp426,"Herbs, herbal teas & spices",Daisy flower ,Daisy flower (Bellis perennis),1
pp427,"Herbs, herbal teas & spices",Damascus rose ,Damascus rose (Rosa damascena),1
pp428,"Herbs, herbal teas & spices",Damiana ,Damiana (Turnera diffusa var. aphrodisiaca),1
pp146,"Herbs, herbal teas & spices",Dandelion ,Dandelion (Taraxatum species),1
pp147,"Herbs, herbal teas & spices",Dill ,Dill (Anethum graveolens),1
pp429,"Herbs, herbal teas & spices",Downy hemp nettle ,Downy hemp nettle (Galeopsis segetum),1
pp430,"Herbs, herbal teas & spices",Dwarf elder fruit ,Dwarf elder fruit (Sambucus ebulus),1
pp431,"Herbs, herbal teas & spices",Dwarf mountain pine shoot ,Dwarf mountain pine shoot ( Pinus mugo),1
pp432,"Herbs, herbal teas & spices",Dyer’s broom flower ,Dyer’s broom flower (Genista tinctoria),1
pp433,"Herbs, herbal teas & spices",Echinacea,Echinacea herb (Echinacea spec.),1
pp434,"Herbs, herbal teas & spices",Echinacea,Echinacea root (Echinacea spec.),1
pp435,"Herbs, herbal teas & spices",Elecampane ,Elecampane (Inula helenium),1
pp506,"Herbs, herbal teas & spices",Epazote Mexican Tea ,Epazote (Mexican tea) (Chenopodium ambrosioides),1
pp436,"Herbs, herbal teas & spices",Epazote Mexican Tea ,Epazote Mexican Tea (Chenopodium ambrosioides),1
pp437,"Herbs, herbal teas & spices",Eucalyptus ,Eucalyptus (Eucalyptus species),1
pp438,"Herbs, herbal teas & spices",Evening primrose ,Evening primrose (Oenothera biennis),1
pp439,"Herbs, herbal teas & spices",Eyebright ,Eyebright (Euphrasia officinalis),1
pp148,"Herbs, herbal teas & spices",Fennel ,Fennel (Foeniculum vulgare),1
pp149,"Herbs, herbal teas & spices",Fenugreek ,Fenugreek (Trigonella foenum-graecum),1
pp440,"Herbs, herbal teas & spices",Feverfew ,Feverfew (Tanacetum parthenium),1
pp441,"Herbs, herbal teas & spices",Field horsetail ,Field horsetail (Equisetum arvense),1
pp442,"Herbs, herbal teas & spices",Field poppy flower ,Field poppy flower (Papaver rhoeas),1
pp443,"Herbs, herbal teas & spices",Fir shoot ,Fir shoot (Abies spec.),1
pp444,"Herbs, herbal teas & spices",Fragrant sumac bark ,Fragrant sumac bark (Rhus aromatica),1
pp445,"Herbs, herbal teas & spices",Fumitory ,Fumitory (Fumaria officinalis),1
pp150,"Herbs, herbal teas & spices",Galangal ,"Galangal (Kaempferia galanga, Languas galanga, L. officinarum, Alpinia galanga, A.officinarum)",1
pp151,"Herbs, herbal teas & spices",Garlic chive ,"Garlic chive (Allium tuberosum, A. ramosum)",1
pp152,"Herbs, herbal teas & spices",Geranium ,"Geranium (Pelargonium odoratissimum, P. graveolens)",1
pp446,"Herbs, herbal teas & spices",Giloy,Giloy root (Tinospora cordifolia),1
pp447,"Herbs, herbal teas & spices",Giloy,Giloy stem (Tinospora cordifolia),1
pp153,"Herbs, herbal teas & spices",Ginger ,Ginger (Zingiber officicinale),1
pp448,"Herbs, herbal teas & spices",Ginkgo ,Ginkgo (Ginkgo biloba),1
pp449,"Herbs, herbal teas & spices",Ginseng root ,Ginseng root (Panax ginseng),1
pp450,"Herbs, herbal teas & spices",Goat's rue ,Goat's rue (Galega officinalis),1
pp451,"Herbs, herbal teas & spices",Goji berry ,Goji berry (Lycium barbarum),1
pp452,"Herbs, herbal teas & spices",Golden root ,Golden root (Rhodiola rosea),1
pp453,"Herbs, herbal teas & spices",Goldenrod ,Goldenrod (Solidago virgaurea),1
pp454,"Herbs, herbal teas & spices",Grains of paradise ,Grains of paradise (Aframomum melegueta),1
pp154,"Herbs, herbal teas & spices",Grape leaf ,Grape leaf (Vitis vinifera),1
pp455,"Herbs, herbal teas & spices",Great bougainvillea leaf ,Great bougainvillea leaf (Bougainvillea spectabilis),1
pp456,"Herbs, herbal teas & spices",Greek mountain tea ,Greek mountain tea (Sideritis spec.),1
pp457,"Herbs, herbal teas & spices",Ground ivy ,Ground ivy (Glechoma hederacea),1
pp458,"Herbs, herbal teas & spices",Guarana seed ,Guarana seed (Paullinia cupana),1
pp155,"Herbs, herbal teas & spices",Guayusa / Wayusa ,Guayusa / Wayusa (Ilex guayusa),1
pp319,"Herbs, herbal teas & spices",Gum arabica,Gum arabica,1
pp459,"Herbs, herbal teas & spices",Gum arabica,"Gum arabica tree trunk sap (Acacia senegal, A. seyal)",1
pp460,"Herbs, herbal teas & spices",Gymnema leaf ,Gymnema leaf (Gymnema silvestre),1
pp461,"Herbs, herbal teas & spices",Hairy rupturewort ,Hairy rupturewort (Herniaria hirsuta),1
pp462,"Herbs, herbal teas & spices",Hawthorn ,Hawthorn (Crataegus species),1
pp463,"Herbs, herbal teas & spices",Hazelnut leaf ,Hazelnut leaf (Corylus avellana),1
pp464,"Herbs, herbal teas & spices",Heartsease ,Heartsease (Viola tricolor),1
pp465,"Herbs, herbal teas & spices",Heather ,Heather (Calluna vulgaris),1
pp466,"Herbs, herbal teas & spices",Heather flower ,Heather flower (Calluna vulgaris),1
pp467,"Herbs, herbal teas & spices",Hemp ,Hemp (Cannabis sativa),1
pp468,"Herbs, herbal teas & spices",Herb bennet ,Herb bennet (Geum urbanum),1
pp469,"Herbs, herbal teas & spices",Herb bennet ,Herb bennet root (Geum urbanum),1
pp470,"Herbs, herbal teas & spices",Herbal tea Not specified,Herbal tea Not specified,1
pp156,"Herbs, herbal teas & spices",Hibiscus ,Hibiscus (Hibiscus sabdariffa),1
pp471,"Herbs, herbal teas & spices",Hollyhock flower ,Hollyhock flower (Althaea rosea),1
pp472,"Herbs, herbal teas & spices",Holy thistle ,Holy thistle (Cnicus benedictus),1
pp157,"Herbs, herbal teas & spices",Honeybush ,Honeybush (Cyclopia species),1
pp473,"Herbs, herbal teas & spices",Horehound ,Horehound (Marrubium vulgare),1
pp474,"Herbs, herbal teas & spices",Horsechestnut,Horsechestnut bark (Aesculus hippocastanum),1
pp475,"Herbs, herbal teas & spices",Horsechestnut,Horsechestnut flower (Aesculus hippocastanum),1
pp476,"Herbs, herbal teas & spices",Horsechestnut,Horsechestnut leaf (Aesculus hippocastanum),1
pp477,"Herbs, herbal teas & spices",Horseradish ,Horseradish (Armoracia rusticana),1
pp478,"Herbs, herbal teas & spices",Hyssop ,Hyssop (Hyssopus officinalis),1
pp479,"Herbs, herbal teas & spices",Iceland moss ,Iceland moss (Cetraria islandica),1
pp480,"Herbs, herbal teas & spices",India echinacea,India echinacea leaf (Andrographis paniculata),1
pp481,"Herbs, herbal teas & spices",India echinacea,India echinacea root (Andrographis paniculata),1
pp640,"Herbs, herbal teas & spices",Indian Frankincense,Indian Frankincense,1
pp482,"Herbs, herbal teas & spices",Indian ginseng ,Indian ginseng (Withania somnifera),1
pp483,"Herbs, herbal teas & spices",Indigo ,Indigo (Indigofera tinctoria),1
pp484,"Herbs, herbal teas & spices",Iramusu Indian Sarasaparilla ,Iramusu Indian Sarasaparilla (Hemidesmus indicus),1
pp485,"Herbs, herbal teas & spices",Ivy gourd ,Ivy gourd (Coccinia indica),1
pp486,"Herbs, herbal teas & spices",Japanese ginger ,Japanese ginger (Zingiber mioga),1
pp158,"Herbs, herbal teas & spices",Jasmine ,Jasmine (Jasminum species),1
pp159,"Herbs, herbal teas & spices",Juniper berry ,Juniper berry (Juniperus communis),1
pp487,"Herbs, herbal teas & spices",Knotgrass ,Knotgrass (Polygonum aviculare),1
pp160,"Herbs, herbal teas & spices",Kokam ,Kokam (Garcinia indica),1
pp488,"Herbs, herbal teas & spices",Lapacho bark ,Lapacho bark (Tebebuia impetiginosa),1
pp489,"Herbs, herbal teas & spices",Larkspur flower ,Larkspur flower (Delphinium consolida),1
pp161,"Herbs, herbal teas & spices",Lavender ,Lavender (Lavendula species),1
pp320,"Herbs, herbal teas & spices",Leek; elefant garlic,Leek; elefant garlic,1
pp490,"Herbs, herbal teas & spices",Lemon Balm,Lemon Balm,1
pp162,"Herbs, herbal teas & spices",Lemon Balm,Lemon balm (Mellisa officinalis),1
pp163,"Herbs, herbal teas & spices",Lemon myrtle ,Lemon myrtle (Backhousia citriodora),1
pp491,"Herbs, herbal teas & spices",Lemon savory ,Lemon savory (Satureja biflora),1
pp492,"Herbs, herbal teas & spices",Lemon verbena,Lemon verbena,1
pp164,"Herbs, herbal teas & spices",Lemon verbena ,Lemon verbena (Aloysia citrodora),1
pp165,"Herbs, herbal teas & spices",Lemongrass ,"Lemongrass (Cympobogon citratus, C. flexuosus)",1
